"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
6,"Chemical Products",628,"Inorganic chemicals",62841,"Oxometallic or Peroxometallic Acid Salts",10379737
6,"Chemical Products",628,"Inorganic chemicals",62842,"Other Inorganic Acids Salts",38205670
6,"Chemical Products",628,"Inorganic chemicals",62843,"Precious Metal Compounds",5400691
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",57409
6,"Chemical Products",628,"Inorganic chemicals",62846,"Rare-Earth Metal Compounds",12619075
6,"Chemical Products",628,"Inorganic chemicals",62847,"Hydrogen peroxide",59206
6,"Chemical Products",628,"Inorganic chemicals",62849,"Carbides",1594
6,"Chemical Products",628,"Inorganic chemicals",62850,"Hydrides and other anions",21959
6,"Chemical Products",628,"Inorganic chemicals",62851,"Inorganic Compounds",3269853
6,"Chemical Products",629,"Organic chemicals",62901,"Acyclic Hydrocarbons",114504653
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",151646795
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",19482
6,"Chemical Products",629,"Organic chemicals",62904,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",22162
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic Alcohols",197673800
6,"Chemical Products",629,"Organic chemicals",62906,"Cyclic Alcohols",189786
6,"Chemical Products",629,"Organic chemicals",62907,"Phenols",2
6,"Chemical Products",629,"Organic chemicals",62908,"Phenol Derivatives",1371
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",9680676
6,"Chemical Products",629,"Organic chemicals",62910,"Epoxides",25145
6,"Chemical Products",629,"Organic chemicals",62912,"Aldehydes",18804924
6,"Chemical Products",629,"Organic chemicals",62914,"Ketones and Quinones",1817
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",10605990
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",2063603
6,"Chemical Products",629,"Organic chemicals",62917,"Polycarboxylic Acids",13372
6,"Chemical Products",629,"Organic chemicals",62918,"Carboxylic Acids",157814
6,"Chemical Products",629,"Organic chemicals",62919,"Phosphoric Esters and Salts",3929
6,"Chemical Products",629,"Organic chemicals",62920,"Other Esters",51429
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",121122119
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2840472
6,"Chemical Products",629,"Organic chemicals",62923,"Quaternary Ammonium Salts and Hydroxides",2082353.9999999998
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",925
6,"Chemical Products",629,"Organic chemicals",62927,"Diazo, Azo or Aoxy Compounds",23
6,"Chemical Products",629,"Organic chemicals",62928,"Hydrazine or Hydroxylamine Derivatives",1230
6,"Chemical Products",629,"Organic chemicals",62930,"Organo-Sulfur Compounds",79442
6,"Chemical Products",629,"Organic chemicals",62931,"Other Organo-Inorganic Compounds",154853
6,"Chemical Products",629,"Organic chemicals",62932,"Oxygen Heterocyclic Compounds",2304
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",9257
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",17519
6,"Chemical Products",629,"Organic chemicals",62935,"Sulfonamides",40545
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",364157
6,"Chemical Products",629,"Organic chemicals",62937,"Hormones",19551
6,"Chemical Products",629,"Organic chemicals",62938,"Glycosides",814
6,"Chemical Products",629,"Organic chemicals",62939,"Vegetable Alkaloids",55541
6,"Chemical Products",629,"Organic chemicals",62940,"Chemically Pure Sugars",6020
6,"Chemical Products",629,"Organic chemicals",62941,"Antibiotics",9803
6,"Chemical Products",629,"Organic chemicals",62942,"Other Organic Compounds",93604351.99999999
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",147249
